,gap,true_gap
icsd-162555,2.1222267,2.31
icsd-239083,1.1866798,1.47
icsd-245512,-0.005873382,0.0
icsd-4128,-0.005873382,0.0
icsd-28056,4.974431,0.0
icsd-281575,-0.005873382,0.0
icsd-184676,0.5759865,0.59
icsd-237501,4.675225,2.96
icsd-25649,1.8619505,0.6
icsd-414418,2.4615102,1.8
icsd-40154,-0.005873382,0.0
icsd-638535,-0.005873382,0.0
icsd-413599,1.8462446,1.35
icsd-43896,-0.005873382,0.0
icsd-85305,-0.005873382,0.0
icsd-427690,2.495267,2.26
icsd-76993,-0.005873382,0.0
icsd-605077,-0.005873382,0.0
icsd-623587,-0.005873382,0.0
icsd-23084,2.3372211,0.0
icsd-247292,-0.005873382,0.0
icsd-643223,-0.005873382,0.0
icsd-85599,3.1231441,2.48
icsd-631609,0.7689283,1.6616666666666664
icsd-253696,5.6175056,4.065
icsd-97360,-0.005873382,0.0
icsd-78157,-0.005873382,1.01
icsd-105939,-0.005873382,0.0
icsd-626322,-0.005873382,0.0
icsd-10001,-0.005873382,0.0
icsd-418590,1.5205188,1.7
icsd-603666,0.5554949,1.3
icsd-632172,-0.005873382,0.0
icsd-163134,-0.005873382,0.0
icsd-411847,2.0602689,1.59
icsd-411848,1.9635458,2.35
icsd-169101,-0.005873382,0.0
icsd-55340,-0.005873382,0.0
icsd-600838,0.27557355,1.18
icsd-83492,-0.005873382,0.0
icsd-186059,-0.005873382,0.0
icsd-61517,6.423528,6.3566666666666665
icsd-104439,-0.005873382,0.0
icsd-420087,0.9717296,2.51
icsd-24592,3.1166348,1.7299999999999998
icsd-670009,3.5458899,4.3
icsd-99128,1.5568472,1.485
icsd-413598,1.8149468,1.5
icsd-34051,0.22923015,0.4
icsd-671925,9.89697,10.3
icsd-42524,-0.005873382,0.0
icsd-431884,-0.005873382,0.0
icsd-648826,0.52552456,0.4
icsd-611135,1.008378,0.91
icsd-262886,2.5775356,2.35
icsd-618536,-0.005873382,0.0
icsd-422014,2.013342,1.5
icsd-9914,1.5762627,0.0
icsd-40763,-0.005873382,0.0
icsd-57936,-0.005873382,0.0
icsd-409668,0.9268557,0.6
icsd-411641,-0.005873382,0.0
icsd-624594,-0.0058674514,0.45
icsd-76295,-0.0058733523,0.0
icsd-58045,-0.005873382,0.0
icsd-16350,-0.005873382,0.0
icsd-411056,-0.005873382,0.0
icsd-623921,-0.005873382,0.0
icsd-710082,-0.005873382,0.0
icsd-24386,2.6740928,3.1630000000000003
icsd-39323,-0.005873382,0.0
icsd-624289,-0.005873382,0.0
icsd-26654,-0.005873382,1.65
icsd-102053,-0.005873382,0.0
icsd-631590,-0.005873382,1.7
icsd-188654,6.162705,6.89
icsd-239154,3.2409205,3.0
icsd-419026,-0.005873382,0.0
icsd-648815,-0.005873382,0.0
icsd-39360,-0.005873382,0.0
icsd-100355,2.9515986,0.0
icsd-197256,-0.005873382,0.0
icsd-106710,-0.005873382,0.0
icsd-251131,2.1199467,1.95
icsd-195370,3.8218508,5.6
icsd-43284,-0.005873382,0.1
icsd-656439,-0.005873382,0.0
icsd-626404,-0.005873382,0.0
icsd-82152,-0.005873382,2.3916666666666666
icsd-415737,-0.005873382,0.0
icsd-76482,1.3372258,2.35
icsd-43359,0.930478,1.4819399999999998
icsd-130018,7.6359997,7.3
icsd-63501,-0.005873382,0.0
icsd-67656,1.9904352,1.54
icsd-610002,-0.0058733523,0.0
icsd-38315,-0.005873382,0.0
icsd-26882,0.75328916,1.09
icsd-104137,1.7363003,1.3
icsd-183443,3.5222454,3.26
icsd-671988,-0.005873382,0.0
icsd-239634,2.2622328,2.47
icsd-421485,3.0236,2.25
icsd-166600,-0.005873382,0.0
icsd-291473,2.4391408,1.785714285714286
icsd-41554,2.0739965,2.625
icsd-23910,-0.005873382,0.0
icsd-2564,2.8504896,2.6
icsd-646003,1.6908885,1.12
icsd-430475,1.7964154,1.96
icsd-167663,-0.005873382,0.9159999999999999
icsd-611582,-0.005873382,0.0
icsd-57534,-0.005873382,0.0
icsd-249619,1.4653314,1.1
icsd-637697,-0.005873382,0.0
icsd-103926,-0.005873382,0.0
icsd-9564,-0.005873382,0.0
icsd-76053,2.3206868,0.0
icsd-239706,3.59017,2.89
icsd-414420,2.0565991,2.04
icsd-411543,-0.005873382,0.0
icsd-12146,-0.005873382,0.23
icsd-43505,0.29038766,0.9
icsd-167649,-0.005873382,0.0
icsd-422199,3.604031,3.52
icsd-197202,-0.005873382,0.0
icsd-87201,-0.0058733523,0.0
icsd-610297,-0.0058733523,0.0
icsd-168448,2.2270076,1.8
icsd-170601,2.7363963,2.85
icsd-604279,-0.005873382,0.0
icsd-414479,-0.005873382,0.0
icsd-631660,2.120996,1.02
icsd-613247,-0.005873382,0.0
icsd-25651,1.7629759,1.182
icsd-1305,2.408163,3.7
icsd-174173,-0.005873382,0.0
icsd-183442,1.944032,2.34
icsd-262888,2.4024377,2.31
icsd-236605,-0.005873382,0.0
icsd-58486,-0.005873382,0.0
icsd-58736,-0.005873382,0.0
icsd-30240,3.9137187,3.89
icsd-98333,-0.005873382,0.0
